dist_metro,num_residential,avg_income,traffic,rent_per_sqm,has_parking,competition_count,score,suitable
19.8,2,18.6,medium,126,yes,2,64,good
28.1,3,15.6,medium,121,yes,0,62,good
9.6,2,5.3,medium,119,yes,4,63,good
10.2,2,12,medium,140,yes,4,75,good
5.1,4,12.1,medium,149,no,4,68,good
9.5,1,11.1,medium,117,yes,3,63,good
13,5,14.5,medium,137,yes,7,90,good
9.8,2,6.4,medium,116,yes,2,59,good
7.1,3,10.4,medium,132,yes,3,81,good
8.1,6,13.9,high,137,yes,2,85,good
19.3,3,14.7,medium,121,yes,2,72,good
10.7,3,12.6,medium,144,yes,3,70,good
15.8,7,10.8,high,104,no,3,66,good
21,3,11.5,medium,94,yes,1,63,good
29.2,1,15,medium,87,no,1,48,bad
5,0,12.1,medium,147,yes,0,58,good
35.2,3,7.8,medium,75,no,0,27,bad
26.2,1,7.1,medium,96,no,0,46,bad
6.8,2,6,medium,121,yes,1,72,good
40.3,1,17.8,low,86,no,0,3,bad
44.4,3,15.2,low,92,yes,1,34,bad
6,1,11.6,medium,133,no,3,35,bad
12.9,2,10.2,medium,119,yes,1,57,good
35.6,4,9.7,medium,88,yes,0,30,bad
32.2,3,16.4,medium,112,yes,3,57,good
10,4,19.6,medium,135,yes,3,79,good
10.7,2,9.6,medium,132,yes,1,65,good
16.1,2,16.6,medium,144,yes,2,54,good
20.2,3,12.1,medium,100,yes,3,66,good
25.8,1,11.2,medium,106,yes,2,45,bad
16,2,18,medium,129,yes,3,82,good
19.4,4,12,medium,122,yes,3,80,good
32.2,6,13.2,medium,86,no,2,62,good
4.9,4,13,medium,155,no,3,62,good
12.1,1,5.5,medium,97,yes,0,72,good
30.3,4,13.2,medium,99,no,1,35,bad
42.1,4,9.7,medium,81,yes,2,36,bad
21.3,1,6.3,medium,94,yes,4,44,bad
22.1,5,9.9,medium,98,no,1,74,good
7.7,2,9.9,medium,130,yes,1,67,good
18.8,1,16.1,medium,125,no,2,43,bad
22.1,4,7.7,medium,102,yes,4,49,bad
11.8,3,8.8,medium,128,no,1,59,good
12.7,3,12.9,medium,123,no,2,64,good
16.3,6,6.7,medium,112,yes,4,80,good
3.9,4,9.4,medium,128,yes,2,75,good
14.4,9,5.3,high,101,yes,5,78,good
10.8,3,15.7,medium,132,no,1,52,good
14.6,2,10.8,medium,115,yes,3,63,good
8,3,11.9,medium,127,no,0,53,good
41.7,2,15.7,low,101,yes,3,24,bad
24.7,5,9.1,medium,99,yes,0,66,good
28.6,4,10.8,medium,92,no,2,41,bad
34.6,3,7.8,medium,84,no,2,26,bad
20.8,5,7.8,medium,105,no,1,57,good
7,3,8.3,medium,114,no,6,53,good
22.3,1,10,medium,104,yes,2,48,bad
24.4,3,10.5,medium,101,no,3,44,bad
32.1,7,13.2,medium,97,yes,1,69,good
18.2,3,8.4,medium,117,yes,2,62,good
8.3,2,13.3,medium,136,yes,2,72,good
13.1,5,13.9,medium,140,yes,2,70,good
15.8,2,10.1,medium,116,yes,4,67,good
27,4,8.8,medium,115,yes,1,52,good
23.7,1,12.3,medium,104,yes,2,53,good
15.6,3,11.2,medium,111,yes,1,78,good
53.6,8,12.9,medium,71,yes,2,69,good
25.2,3,18.3,medium,132,no,0,53,good
11.6,5,12.3,medium,113,yes,8,75,good
7.5,6,9.4,high,126,yes,6,86,good
9,5,8.4,medium,117,no,5,66,good
11.9,4,8.6,medium,121,no,0,53,good
9.3,3,6.1,medium,118,yes,3,59,good
10,4,15.7,medium,150,no,2,49,bad
13.2,0,3.1,medium,105,yes,2,45,bad
9.6,8,14,high,147,no,4,76,good
42.2,2,8.5,low,71,yes,2,36,bad
6.8,4,10,medium,139,no,5,61,good
21.8,0,8.4,medium,106,yes,2,54,good
17.5,1,17.8,medium,147,no,1,42,bad
52.6,7,12.1,medium,51,yes,1,69,good
7.8,4,15.2,medium,127,no,3,64,good
17,5,17.2,medium,147,yes,5,85,good
50.3,1,12.7,low,63,yes,0,11,bad
39.7,5,7.2,medium,68,yes,5,51,good
36.3,1,11.1,low,79,yes,0,17,bad
12.3,2,9,medium,131,yes,2,59,good
9.6,1,10,medium,113,yes,2,66,good
28.1,4,11.6,medium,101,no,4,40,bad
45.3,3,11.5,low,72,yes,2,24,bad
23.1,1,13.6,medium,123,no,3,43,bad
23.7,3,14.2,medium,107,yes,2,64,good
13,2,11.5,medium,128,yes,2,61,good
33.4,2,13.6,medium,85,yes,1,53,good
10.1,1,9.8,medium,147,yes,1,80,good
14.4,3,17.3,medium,131,no,6,66,good
18,2,9.7,medium,112,no,2,52,good
21.1,3,16.8,medium,138,yes,2,72,good
11.8,3,6.1,medium,109,yes,1,67,good
7.9,5,10.5,medium,146,no,1,47,bad
25.4,6,10.7,medium,99,yes,2,68,good
13.3,3,13.1,medium,133,no,4,49,bad
24.2,5,15.4,medium,109,no,3,44,bad
9.1,2,7,medium,107,yes,4,52,good
20.1,2,7.6,medium,109,no,3,21,bad
22.1,4,6.4,medium,106,yes,3,59,good
5.6,3,17.3,medium,133,yes,3,91,good
14.9,2,13.2,medium,121,no,0,61,good
8.5,1,7.7,medium,135,yes,3,60,good
6.1,5,10.2,medium,137,yes,2,76,good
54.5,3,16.7,low,68,yes,1,17,bad
14.4,4,10.9,medium,114,no,3,42,bad
35.8,1,10.7,low,107,no,0,3,bad
12.2,3,8.9,medium,105,yes,5,59,good
28.7,4,7.9,medium,92,yes,2,56,good
32.9,2,16.7,medium,89,no,0,34,bad
24.8,2,18.7,medium,133,no,3,49,bad
19.7,2,8.1,medium,107,yes,4,51,good
17.5,4,17.6,medium,131,yes,2,79,good
15.3,5,10.1,medium,145,no,3,65,good
45.3,2,14.1,low,74,no,2,6,bad
37.2,2,17.6,low,117,no,2,28,bad
49.6,4,11.4,low,64,yes,4,32,bad
8.2,0,10.7,medium,127,yes,0,57,good
31.3,3,15.2,medium,130,yes,4,62,good
46.2,0,7.6,low,64,yes,1,20,bad
9.9,2,16.6,medium,125,no,1,53,good
6.2,2,12.6,medium,139,yes,4,68,good
31.8,1,9.7,low,90,no,1,19,bad
23.9,4,9.6,medium,107,yes,6,57,good
38,5,6.5,medium,75,yes,5,54,good
8.6,1,9.9,medium,149,yes,3,61,good
34.9,4,10.9,medium,95,yes,3,69,good
10.5,0,7.8,medium,109,yes,2,41,bad
9.3,6,11.8,high,131,yes,5,79,good
9.4,5,13.9,medium,126,no,4,62,good
36.1,1,11.1,low,86,yes,1,36,bad
28,5,14.7,medium,98,yes,2,59,good
21.7,1,8.8,medium,126,no,0,36,bad
15.6,4,16,medium,122,yes,3,73,good
40.6,2,12.5,low,91,yes,2,26,bad
16.8,1,18.2,medium,128,yes,5,51,good
36.3,3,21.7,medium,97,yes,1,62,good
18.5,3,10.1,medium,114,yes,2,72,good
16.3,6,10.3,medium,120,yes,1,81,good
19.4,0,11,medium,118,no,0,39,bad
13.7,3,14.4,medium,102,yes,3,88,good
32.2,5,17.3,medium,94,no,2,58,good
20.9,1,9.4,medium,117,yes,4,43,bad
11.5,3,13.5,medium,121,no,3,61,good
42.4,4,11.5,medium,81,yes,3,44,bad
16.5,2,14.5,medium,112,no,5,44,bad
22.6,3,18,medium,129,yes,3,56,good
43.1,7,11,medium,87,yes,6,66,good
26,1,5.3,medium,99,no,1,22,bad
7.9,3,15,medium,148,yes,4,77,good
46.4,3,8.7,low,83,yes,0,20,bad
26.2,1,11.4,medium,92,yes,2,53,good
14.8,1,15.1,medium,120,yes,4,56,good
8.6,2,13.2,medium,142,yes,2,69,good
34.9,2,11.6,medium,102,yes,3,51,good
25.9,6,9.7,medium,94,yes,0,81,good
22.2,1,3,medium,85,no,0,28,bad
42,3,14.8,medium,80,no,2,20,bad
34.5,3,11,medium,74,no,5,58,good
9,4,18.1,medium,130,no,2,86,good
14,2,13.6,medium,114,yes,0,76,good
12,3,9.8,medium,119,yes,2,63,good
32,4,16.3,medium,107,yes,2,64,good
4.7,2,16.6,medium,150,yes,2,74,good
23.7,3,11.1,medium,102,no,3,54,good
33,2,16.8,medium,99,no,1,42,bad
40.6,4,9.8,medium,80,no,1,28,bad
15.1,1,12.6,medium,108,yes,0,59,good
36.6,3,14.3,medium,103,no,1,47,bad
7.8,5,15.1,medium,151,yes,5,98,good
38.3,2,14.5,low,85,yes,1,51,good
8.3,4,10.7,medium,125,no,1,69,good
17,2,16.4,medium,140,no,2,49,bad
35.1,1,11.5,low,89,yes,3,4,bad
8.9,3,9.7,medium,132,yes,2,73,good
11.4,4,9.8,medium,122,yes,8,68,good
30.8,7,19.8,medium,129,yes,5,82,good
30.7,4,9,medium,97,yes,2,57,good
26.8,6,17.2,medium,120,yes,2,69,good
29.4,4,7.5,medium,97,yes,3,59,good
22.5,1,14,medium,109,yes,2,61,good
12.1,1,13.2,medium,124,yes,1,70,good
15.2,7,18.5,high,142,no,6,79,good
9.9,4,9.4,medium,125,yes,6,76,good
43.2,3,8.3,low,60,no,1,13,bad
24.2,3,11.5,medium,125,no,3,41,bad
17.1,3,18.7,medium,142,yes,3,74,good
19.4,3,8.5,medium,108,no,5,42,bad
47.3,1,3,low,52,no,0,4,bad
9,1,12.2,medium,133,yes,2,69,good
24.4,3,15.8,medium,120,no,3,65,good
21.1,0,7.9,medium,84,yes,2,63,good
25.5,3,15.4,medium,134,yes,1,64,good
3.7,3,7.9,medium,122,yes,4,41,bad
40.2,0,11.4,low,82,yes,1,33,bad
45.6,2,15,low,82,yes,0,29,bad
23.5,1,7.3,medium,119,no,0,23,bad
29.5,2,12.7,medium,100,yes,1,50,good
44.6,4,16.9,medium,103,yes,2,50,good
